H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
CH3         Si+                     SiCH2+      H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
HCO+        PO                      HPO+        CO                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         PO                      HPO+        H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
PH+         O2                      PO+         OH                                  5.40E-10     0.00      0.0   10.41000.  5 A IN
HCO+        PH                      PH2+        CO                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
H3+         PH                      PH2+        H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
H+          CH3C6H                  CH3C6H+     H                                   2.00E-09     0.00      0.0   10.  300.  5 C CE
C3H2        C5H2+                   C8H3+       H                                   1.20E-09    -0.50      0.0   10.41000.  5 C IN
NH          Si+                     SiN+        H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          HNSi                    SiN+        H2                                  1.50E-09     0.00      0.0   10.41000.  5 C IN
SiH2+       E-                      SiH         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
PC2H3+      E-                      CCP         H2          H                       1.00E-07    -0.50      0.0   10.  300.  5 C DR
C2H3+       H2CCCC                  C6H4+       H                                   3.00E-10     0.00      0.0   10.41000.  5 C IN
HCO+        C9H                     C9H2+       CO                                  3.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H4        Si+                     SiC2H3+     H                                   2.24E-10     0.00      0.0   10.41000.  5 B IN
PC2H3+      E-                      HC2P        H2                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
Si+         C3H3                    SiC3H2+     H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
HS+         H2S                     HS2+        H2                                  2.80E-10    -0.50      0.0   10.41000.  5 A IN
HCO+        S2                      HS2+        CO                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
O2          SiS+                    SO+         SiO                                 6.23E-11     0.00      0.0   10.41000.  5 B IN
O2          SiS+                    SiO+        SO                                  2.67E-11     0.00      0.0   10.41000.  5 B IN
CH4         C7H2+                   C8H4+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C4H2+       H2CCCC                  C8H4+                                           1.00E-13    -2.00      0.0   10.  300.  5 C RA
H3+         C2H5OH                  CH3CHOH+    H2          H2                      5.00E-10    -0.50      0.0   10.41000.  5 A IN
H3+         C3H3                    CH3CCH+     H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
NCCNH+      E-                      HNC         CN                                  3.00E-07    -0.50      0.0   10.  300.  5 C DR
O           SiH2+                   SiOH+       H                                   6.30E-10     0.00      0.0   10.41000.  5 C IN
SiH2+       E-                      Si          H           H                       2.00E-07    -0.50      0.0   10.  300.  5 C DR
SiH2+       E-                      Si          H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2          Si+                     SiH2+                                           3.00E-18     0.00      0.0   10.  300.  5 C RA
PC2H3+      E-                      PH          C2H2                                1.00E-07    -0.50      0.0   10.  300.  5 C DR
C2H2        PH3+                    PC2H3+      H2                                  5.80E-10     0.00      0.0   10.41000.  5 A IN
C2H4        PH+                     PC2H3+      H2                                  8.40E-10     0.00      0.0   10.41000.  5 A IN
H3+         NO                      HNO+        H2                                  1.10E-09     0.00      0.0   10.41000.  5 A IN
C4H                                 C4          H                                   1.30E-17     0.00   2500.0   10.41000.  2 A CR
C4H+        E-                      C4          H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
HCO+        HS                      H2S+        CO                                  8.20E-10     0.00      0.0   10.41000.  5 C IN
O2+         Fe                      Fe+         O2                                  1.10E-09     0.00      0.0   10.41000.  5 C CE
He+         PO                      P+          O           He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        C5N                     HC5N+       CO                                  3.00E-09    -0.50      0.0   10.41000.  5 C IN
N+          O2                      NO+         O                                   2.63E-10     0.00      0.0   10.41000.  5 A IN
HCO+        C9N                     HC9N+       CO                                  3.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        C3N                     HC3N+       CO                                  3.70E-09    -0.50      0.0   10.41000.  5 C IN
H3+         C9H                     C9H2+       H2                                  4.00E-09    -0.50      0.0   10.41000.  5 C IN
C3H3+       C6H                     C9H2+       H2                                  7.50E-10    -0.50      0.0   10.41000.  5 C IN
He+         CH3C4H                  C5H2+       He          H2                      1.50E-09     0.00      0.0   10.41000.  5 C IN
C2H3+       C7H2                    C9H4+       H                                   8.00E-10    -0.50      0.0   10.41000.  5 C IN
C4H3+       C5H2                    C9H4+       H                                   7.00E-10    -0.50      0.0   10.41000.  5 C IN
